headword,CEFR,pos,Translation
dish,A1,noun,접시
dishonest,A2,adjective,부정한
dishonesty,B2,noun,부정직
dishwasher,B1,noun,식기 세척기
disillusion,B2,verb,환멸
disk/disc,B1,noun,디스크
dislike,A2,noun,싫어함
dismiss,B2,verb,해고하다
disorder,B2,noun,무질서
disorderly,B2,adjective,무질서한
disorganized/disorganised,B2,adjective,무질서
dispensable,B2,adjective,없어도 되는
displace,B2,verb,대신 들어서다
display,A2,noun,표시하다
displeasure,B2,noun,불쾌
disposal,B2,noun,처분
disposition,B2,noun,처분
dispute,B2,noun,논쟁
disqualify,B2,verb,실격
disregard,B2,noun,무시
disrupt,B2,verb,방해
dissatisfaction,B2,noun,불만
dissatisfied,B2,adjective,불만족
dissident,B2,noun,반체제
dissolve,B1,verb,디졸브
distance,B1,noun,거리
distant,B1,adjective,먼
distinction,B1,noun,구별
distinctly,B1,adverb,뚜렷하게
distinguish,B1,verb,구별하다
distinguished,B2,adjective,저명한
distortion,B2,noun,왜곡
distract,B2,verb,괴롭히다
distraction,B2,noun,혼란
distressing,B2,adjective,고민
distribute,B1,verb,분배하다
distribution,B1,noun,분포
distributor,B2,noun,유통 업체
district,B1,noun,구역
disturb,A2,verb,방해하다
disturbance,B1,noun,방해
dive,B1,noun,잠수
diver,B1,noun,잠수부
diverse,B1,adjective,다양한
diversion,B2,noun,전환
divert,B2,verb,전환
divide,B1,noun,나누다
divided,B2,adjective,각기 다른
divine,B1,adjective,신성한
diving,B1,noun,다이빙
division,B2,noun,분할
divorce,B2,noun,이혼
divorced,B1,adjective,이혼
dizzy,A2,adjective,어지러운
DJ,B1,noun,디제이
do,A1,do-verb,하다
doc,B1,noun,문서
dock,B2,noun,독
doctor/Dr./Dr,A1,noun,의사
document,B1,noun,문서
documentary,B1,noun,기록한 것
does,A1,do-verb,하다
dog,A1,noun,개
doing,A1,do-verb,행위
doll,A1,noun,인형
dollar,A1,noun,달러
dolphin,B1,noun,돌고래
domestic,B2,adjective,국내의
dominate,B2,verb,빼어나게 솟다
donate,B2,verb,기부
donation,B2,noun,기부
done,A2,do-verb,완료
donkey,B2,noun,당나귀
doom,B2,noun,운명
door,A1,noun,문
doorkeeper,B2,noun,콜론
doorway,B2,noun,출입구
dorm,B2,noun,기숙사
dormitory,B2,noun,기숙사
dose,B2,noun,정량
dot,B1,noun,점
double,A2,adjective,더블
doubly,B2,adverb,이중
doubt,A2,noun,의심
doubtful,B2,adjective,못 미더운
dove,B2,noun,비둘기
down,B2,adjective,아래에
downfall,B2,noun,몰락
download,B2,noun,다운로드
downsize,B2,verb,축소
downstairs,B1,adjective,아래층
downtown,A2,adverb,도심
downward,B1,adjective,하향의
dowry,B2,noun,결혼 지참금
doze,B1,noun,선잠
draft/draught,B2,noun,초안
drag,B1,verb,견인
drain,B2,noun,물을 빼다
drama,A1,noun,드라마
dramatic,B1,adjective,극적인
dramatically,B2,adverb,극적으로
drapery,B2,noun,피륙
draw,A2,noun,그리다
drawer,A2,noun,서랍
drawing,A2,noun,그림
dread,B2,verb,공포
dreadful,B2,adjective,무서운
dream,A1,noun,꿈
dreamy,B2,adjective,꿈꾸는 듯한
dress,A1,noun,드레스
dressed,A2,adjective,옷을 입고
drill,A2,noun,송곳
drink,A1,noun,마시다
drinkable,B2,adjective,마실 수 있는
drive,A1,noun,운전하다
driver,A1,noun,운전사
driver's license/driving licence,A2,noun,운전 면허
droop,B2,noun,처짐
drop,A2,noun,떨어지다
dropout,B2,noun,탈락
drought,B2,noun,가뭄
drown,B1,verb,안 들리게 하다
drug,A2,noun,의약품
drugstore,A2,noun,약국
drum,A1,noun,북
drunk,B1,adjective,술 취한
dry,A1,adjective,마른
duck,A2,noun,오리
dude,B1,noun,녀석
due,A1,adjective,~로 인한
duel,B2,noun,결투
dull,B1,adjective,따분한
dumb,B2,adjective,멍청한
dump,B1,noun,덤프
duplicate,B2,noun,복제하다
duplication,B2,noun,복사
during,A2,preposition,~ 동안
dust,A2,noun,먼지
dustbin,B1,noun,쓰레기통
dusty,B1,adjective,무미 건조한
duty,B1,noun,의무
duty-free,B1,adjective,면세
duvet,B1,noun,이불
dwarf,B2,noun,난쟁이
dye,B2,noun,먹이다
dynamic,B2,adjective,동적
dynasty,B1,noun,왕조
each other,A1,pronoun,서로
eager,B1,adjective,열렬한
eagerly,B2,adverb,간절히
eagerness,B1,noun,열의
eagle,B2,noun,독수리
ear,A1,noun,귀
earache,B1,noun,귀앓이
early,A2,adjective,일찍
earn,A2,verb,벌다
earnest,B1,adjective,진지한
earnings,B2,noun,수입
earring,A2,noun,귀걸이
earth,A2,noun,지구
earthquake,A2,noun,지진
ease,B2,noun,쉬움
easily,A2,adverb,용이하게
east,A2,adjective,동쪽
eastern,B1,adjective,동부
eastward,B2,adverb,동쪽으로
easy,A1,adjective,쉬운
easygoing/easy-going,B1,adjective,쉬운
eat,A1,verb,먹다
eco,B1,noun,에코
ecological,B1,adjective,생태학적
ecologically,B2,adverb,생태적으로
ecologist,B2,noun,생태학자
ecology,B1,noun,생태학
economic,B1,adjective,간결한
economical,B2,adjective,경제적
economics,B1,noun,경제학
economist,B2,noun,경제학자
economy,B1,noun,경제
ecosystem,B1,noun,생태계
ecstasy,B1,noun,엑스터시
ecstatic,B2,adjective,황홀
edge,B1,noun,가장자리
edit,B2,noun,편집하다
edition,B1,noun,편집
editor,A2,noun,편집자
editorial,B2,noun,사설
educate,B1,verb,기르다
educated,B2,adjective,교육
education,A2,noun,교육
educational,A2,adjective,교육적인
educator,B2,noun,교육자
effect,A2,noun,효과
effective,B1,adjective,효과적인
effectively,B2,adverb,효과적으로
effectiveness,B2,noun,유효성
efficiency,B1,noun,능률
efficient,B1,adjective,효율적인
effort,A2,noun,노력
egg,A1,noun,계란
eight,A1,number,여덟
eighteen,A1,number,십팔
eighty,A1,number,여든
either,A1,adverb,어느 하나
elbow,B1,noun,팔꿈치
elderly,A2,adjective,연세가 드신
elect,B2,verb,선택된
election,B1,noun,선거
elective,B2,adjective,임의로 선택할 수 있는
electric,A2,adjective,전기의
electrical,B1,adjective,전기의
electrician,B2,noun,전공
electricity,B1,noun,전기
electron,B1,noun,전자
electronic,B1,adjective,전자
electronically,B2,adverb,전자적으로
electronics,B2,noun,전자 장치
elegance,B2,noun,우아
elegant,B2,adjective,우아한
elegantly,B2,adverb,우아하게
element,B1,noun,요소
elemental,B2,adjective,원소 같은
elementary,A1,adjective,초등
elephant,A2,noun,코끼리
elevator,A2,noun,엘리베이터
eleven,A1,number,열하나
eligible,B2,adjective,자격이 있는
eliminate,B1,verb,제거하다
elite,B2,noun,엘리트
eloquence,B2,noun,웅변
eloquent,B2,adjective,웅변
else,A1,adverb,또 다른
elsewhere,A2,adverb,다른 곳
email,A2,verb,이메일
e-mail,A1,noun,이메일
embarrass,B1,verb,당황
embarrassed,B1,adjective,당황스러운
embarrassing,A2,adjective,당혹스러운
embarrassment,B1,noun,당황
embassy,B2,noun,대사관
embrace,B2,noun,포옹하다
emerge,B1,verb,알려지다
emergence,B2,noun,출현
emergency,A2,noun,비상
emotion,B1,noun,감정
emotional,B1,adjective,감정적인
emotionally,B1,adverb,감정적으로
emperor,B1,noun,황제
emphasis,B1,noun,중요성
emphasize/emphasize,B1,verb,강조
emphatically,B2,adverb,단호히
empire,B1,noun,제국
employ,B2,verb,고용
employee,B2,noun,직원
employer,B2,noun,고용주
employment,B1,noun,고용
empty,A2,adjective,비어 있는
enable,B1,verb,~할 수 있게 하다
enclose,B1,verb,넣다
encounter,B1,noun,맞닥뜨리다
encourage,A2,verb,장려하다
encouragement,B1,noun,격려
encouraging,B1,adjective,격려
encyclopedia/encyclopaedia,B1,noun,백과 사전
end,A1,noun,끝
endanger,B1,verb,위태롭게
endangered,A2,adjective,멸종 위기
endeavor/endeavour,B2,noun,노력
ending,A2,noun,종결
endless,B1,adjective,끝이 없는
endlessly,B2,adverb,끝없이
endorse,B2,verb,승인
endurance,B2,noun,지구력
endure,B1,verb,견디다
enduring,B2,adjective,참을 수 있는
enemy,B1,noun,적
energetic,A2,adjective,활력이 넘치는
energy,B2,noun,에너지
enforce,B2,verb,억지로 시키다
engage,B1,verb,약속하다
engaged,B1,adjective,약혼한
engagement,B2,noun,약혼
engine,B1,noun,엔진
engineer,A1,noun,엔지니어
engineering,B1,noun,공학
Englishman,B1,noun,영국인
enhance,B2,verb,향상시키다
enjoy,A1,verb,즐기다
enjoyable,B1,adjective,재미있는
enjoyment,B1,noun,향유
enormous,A2,adjective,막대한
enough,A2,adverb,충분한
enrich,B1,verb,높이다
enroll/enrol,B2,verb,등록
ensure,B1,verb,안전하게 하다
enter,A2,verb,입력하다
enterprise,B2,noun,기업
entertain,B1,verb,즐겁게 하다
entertainer,B1,noun,연예인
entertaining,B2,adjective,재미있는
entertainment,A2,noun,오락
enthusiasm,B1,noun,열광
enthusiast,B1,noun,열성가
enthusiastic,B1,adjective,열렬한
enthusiastically,B2,adverb,열정적으로
entire,B1,adjective,전체
entirely,B1,adverb,전적으로
entitle,B2,verb,자격
entrance,A2,noun,입구
entrepreneur,B2,noun,기업가
entry,B1,noun,기입
envelope,A2,noun,봉투
environment,B2,noun,환경
environmental,B1,adjective,환경
environmentalist,B1,noun,환경 주의자
environmentally,B2,adverb,환경
environmentally friendly,B2,adjective,환경친화적인
envy,A2,noun,부러움
episode,A2,noun,삽화
equal,B1,adjective,동일한
equality,B1,noun,평등
equally,B1,adverb,같이
equation,B2,noun,방정식
equip,B2,verb,갖추게 하다
equipment,B1,noun,장비
equity,B2,noun,형평성
era,B1,noun,연대
erect,B2,adjective,세우다
error,A2,noun,오류
erupt,B2,verb,폭발하다
eruption,B2,noun,분화
escalator,A2,noun,에스컬레이터
escape,A2,noun,탈출하다
especially,A2,adverb,특히
essay,A2,noun,수필
essayist,B2,noun,수필가
essence,B1,noun,본질
essential,B1,adjective,필수적인
essentially,B2,adverb,본질적으로
establish,A2,verb,설립하다
establishment,B1,noun,설립
estate,B2,noun,사유지
estimate,B2,noun,추정
estimated,B2,adjective,추정된
eternal,B1,adjective,영원한
eternally,B2,adverb,영원히
eternity,B1,noun,영원
ethic,B2,noun,윤리
ethnic,B2,adjective,민족
euro,A2,noun,유로
evacuate,B2,verb,대피
evacuation,B2,noun,소개
evaluate,B2,verb,평가하다
evaluation,B2,noun,평가
even,B1,adjective,심지어
evening,A1,noun,저녁
evenly,B1,adverb,고르게
event,A1,noun,이벤트
eventually,B1,adverb,결국
ever,A2,adverb,항상
everlasting,B2,adjective,영구
everybody,A1,pronoun,여러분
everyday,A1,adjective,매일
everyone,A1,pronoun,모든 사람
everything,A1,pronoun,모든 것
everywhere,A1,adverb,어디에나
evidence,A2,noun,증거
evident,B1,adjective,분명한
evidently,B2,adverb,분명히
evil,B2,adjective,사악한
evolution,B2,noun,진화
evolve,B2,verb,진화하다
exact,B1,adjective,정확한
exactly,A2,adverb,정확히
exactness,B2,noun,정확성
exaggerate,B2,noun,과장하다
exaggeration,B2,noun,과장
exalt,B2,verb,높이다
exam,A2,noun,시험
examination,B1,noun,시험
examine,B1,verb,조사하다
examinee,B2,noun,수험자
examiner,B1,noun,시험관
example,A1,noun,예
exceed,B2,verb,초과하다
excel,B2,verb,뛰어나다
excellence,B1,noun,우수
excellent,A1,adjective,훌륭한
except,A2,conjunction,제외하고
exception,B2,noun,예외
exceptional,B2,adjective,특별한
exceptionally,B2,adverb,예외적으로
excess,B1,noun,과잉
excessive,B2,adjective,과도한
exchange,A2,noun,교환
exchange rate,B1,noun,환율
excited,A1,adjective,흥분한
excitedly,B1,adverb,흥분하게
excitement,B1,noun,흥분
exciting,A1,adjective,신나는
exclaim,B2,verb,외치다
exclamation mark,B2,noun,느낌표
exclude,B2,verb,들어오지 못하게 하다
exclusion,B2,noun,제외
exclusive,B1,adjective,독점적인
exclusively,B2,adverb,독점적으로
excursion,B2,noun,소풍
excuse,A1,noun,변명
execute,B2,verb,실행하다
execution,B2,noun,실행
executive,B2,adjective,경영진
exercise,A2,noun,운동
exhaust,B2,noun,배기가스
exhausted,B1,adjective,탈진한
exhausting,B2,adjective,지친
exhaustion,B2,noun,피로
exhibit,B2,verb,전시하다
exhibition,A2,noun,전시회
exile,B2,noun,망명
exist,A2,verb,존재하다
existence,B1,noun,존재
existing,B2,adjective,기존의
exit,B1,noun,출구
exotic,B2,adjective,이국적인
expand,B1,verb,확장하다
expansion,B2,noun,확장
expect,A2,verb,예상하다
expectation,B2,noun,기대
expected,B2,adjective,예상되는
expedition,B2,noun,원정
expense,B1,noun,비용
expensive,A1,adjective,값비싼
experience,A2,noun,경험
experienced,B1,adjective,경험이 풍부한
experiment,B1,noun,실험
expert,B2,adjective,전문가
explain,A2,verb,설명하다
explanation,A2,noun,설명
explode,B2,verb,터지다
exploit,B2,verb,악용하다
exploration,B1,noun,탐구
explore,A2,verb,탐구하다
explorer,B2,noun,탐침
explosion,B1,noun,폭발
explosive,B2,adjective,폭발물
export,B2,noun,내보내다
expose,B1,verb,폭로하다
express,A2,noun,표현하다
expression,A2,noun,표현
expressive,B2,adjective,나타내는
exquisite,B2,adjective,절묘한
extend,B1,verb,연장하다
extension,B2,noun,확대
extensive,B2,adjective,광범위한
extensively,B1,adverb,널리
extent,B1,noun,정도
external,B2,adjective,외부
extinct,B1,adjective,멸종된
extinction,B1,noun,소멸
extra,A2,adjective,추가의
extract,B2,noun,발췌
extraordinarily,B2,adverb,특별히
extraordinary,B1,adjective,기이한
extreme,B1,adjective,극심한
extreme sports,B1,noun,익스트림 스포츠
extremely,A2,adverb,극도로
exultant,B2,adjective,기존
eye,A1,noun,눈
eyebrow,B2,noun,눈썹
eyelash,B2,noun,속눈썹
eyelid,B2,noun,눈꺼풀
eyesight,B1,noun,시력
fabric,B2,noun,구조
fabulous,B2,adjective,굉장한
face,A1,noun,얼굴
face to face,B1,adverb,면 대면
face-to-face,B1,adjective,면 대면
facilitate,B2,verb,가능하게 하다
facilities,B2,noun,시설
facility,B1,noun,시설
fact,A2,noun,사실
factor,B2,noun,요인
factory,A1,noun,공장
faculty,B2,noun,학부
fade,B1,verb,바래다
fail,A2,verb,실패하다
failure,B1,noun,실패
faint,B1,adjective,희미한
fair,A1,adjective,공정한
fairly,A2,adverb,꽤
fairy,A1,noun,요정
faith,B2,noun,믿음
faithful,B1,adjective,충실한
fake,B1,adjective,가짜
fall,B1,noun,떨어지다
fallen,B1,adjective,타락한
FALSE,A1,adjective,거짓
falter,B2,verb,흔들림
fame,B2,noun,명성
familiar,A2,adjective,친숙한
familiarize/familiarise,B2,verb,친숙하다
family,A1,noun,가족
famous,A1,adjective,유명한
fan,A1,noun,팬
fancy,A2,adjective,팬시한
fantastic,A2,adjective,환상적인
fantastically,B2,adverb,환상적으로
fantasy,B1,noun,공상
far,B2,adjective,멀리
faraway,B1,adjective,멀리
fare,A2,noun,요금
farewell,B1,noun,작별
farm,A1,noun,농장
farmer,A1,noun,농장주
farming,B1,noun,농업
farmland,B1,noun,농토
farther,B1,adverb,더 멀리
farthest,B1,adverb,가장 먼
fascinate,B1,verb,홀리다
fascinated,B2,adjective,매료되다
fascinating,A2,adjective,매력적인
fascination,B2,noun,매혹
fashion,A2,noun,패션
fashionable,B1,adjective,유행
fast,A1,adjective,빠른
fast food,A2,noun,패스트 푸드
fasten,B1,verb,묶다
fat,A1,adjective,지방
fatal,B2,adjective,치명적인
fate,B2,noun,운명
father,A1,noun,아버지
father-in-law,B2,noun,시아버지
fault,A2,noun,잘못
faulty,B2,adjective,불완전한
favor/favour,A2,noun,호의
favorable/favourable,B1,adjective,호의적
favorite/favourite,A1,adjective,좋아하는
fax,B1,noun,팩스
fear,A2,noun,두려움
fearsome,B2,adjective,무시무시한
feast,B1,noun,잔치
feat,B2,noun,위업
feather,A2,noun,깃털
feature,A2,noun,특징
February,A1,noun,2월
federal,B2,adjective,연방
fee,A2,noun,요금
feed,A1,noun,밥을 먹이다
feedback,B2,noun,피드백
feel,A2,noun,느끼다
feeling,A1,noun,감정
fellow,B2,adjective,사람
female,A2,adjective,여성
fence,A2,noun,울타리
ferry,B1,noun,나룻배
ferryboat,B2,noun,나룻배
festival,A1,noun,제전
festive,B1,adjective,축제
fetch,B1,verb,술책
fever,A1,noun,발열
feverishly,B1,adverb,열렬히
fiber/fibre,B2,noun,섬유
fiction,A2,noun,소설
fictional,B2,adjective,꾸며낸
field,A1,noun,필드
fierce,B2,adjective,사나운
fifteen,A1,number,열 다섯
fifth,B1,noun,다섯
fifty,A1,number,오십
fight,A1,noun,싸움
fighter,A2,noun,전투기
fighting,B2,noun,화이팅
figurative,B2,adjective,비유적
figure,A2,noun,수치
file,A1,noun,파일
fill,A1,verb,채우다
filling,B1,noun,충전재
film,A2,noun,영화
film-maker,B1,noun,영화 제작자
filter,B1,noun,필터
final,A2,adjective,결정적인
finally,A2,adverb,마지막으로
finance,B2,noun,재원
financial,B1,adjective,재정적인
financially,B2,adverb,재정적으로
find,A1,verb,찾다
finding,B1,noun,발견
fine,A1,adjective,괜찮은
finely,B2,adverb,잘게
finger,B1,noun,손가락
fingernail,B2,noun,손톱
finish,A1,noun,마치다
fire,A1,noun,불
fire brigade,B2,noun,소방대
fire station,B1,noun,소방서
firearm,B2,noun,총기
firefighter,B1,noun,소방관
fireplace,B2,noun,난로
firework,B1,noun,불꽃
firm,B1,adjective,단단한
firmly,B1,adverb,단단히
firmness,B2,noun,견고
first,A1,adjective,첫 번째
first floor,B1,noun,1 층
first lady,B1,noun,영부인
first language,B2,noun,모국어
first name,A2,noun,이름
first person,B2,noun,첫번째 사람
first-floor,B1,adjective,1 층
firstly,B2,adverb,첫 번째
fiscal,B2,adjective,회계
fish,A1,noun,물고기
fisherman,A2,noun,어부
fishing,A1,noun,어업
fit,A2,adjective,맞다
fitness,B1,noun,적합
five,A1,number,다섯
fix,A2,noun,고치다
fixed,B2,adjective,결정된
flag,A1,noun,깃발
flame,B2,noun,불꽃
flap,B2,verb,플랩
flash,B1,adjective,플래시
flat,B1,adjective,평평한
flavor/flavour,B1,noun,맛
flaw,B2,noun,결함
flawless,B2,adjective,완벽한
flax,B2,noun,엷은 황갈색
flea,A2,noun,벼룩
flee,B2,verb,서두르다
fleet,B2,noun,함대
flesh,B2,noun,육체
flexibility,B2,noun,유연성
flexible,B2,adjective,유연한
flexibly,B2,adverb,유연하게
flight,A2,noun,비행
flip,B2,verb,튀기다
float,A2,noun,뜨다
flock,B1,noun,대군
flood,A2,noun,홍수
floor,A1,noun,바닥
flour,A2,noun,밀가루
flow,B1,noun,흐름
flower,A1,noun,꽃
flu,B1,noun,독감
fluency,B2,noun,유창
fluent,B1,adjective,유창한
fluently,B1,adverb,유창하게
fluid,B2,adjective,체액
flute,B1,noun,플루트
flutter,B2,noun,실룩거리다
fly,A1,noun,파리
focus,B2,noun,집중하다
fog,A2,noun,안개
foggy,A1,adjective,흐린
fold,B1,noun,겹
folder,A2,noun,폴더
folk,B1,noun,사람들
follow,A2,verb,따르다
follower,B2,noun,수행원
following,A1,adjective,수행원
folly,B2,noun,어리석은 행동
fond,B1,adjective,다정한
fondly,B2,adverb,무르게
fondness,B1,noun,기호
food,A1,noun,음식
fool,A2,noun,바보
foolish,B1,adjective,바보 같은
foolishly,B2,adverb,어리석게
foot,B1,noun,발
football,A1,noun,축구
footballer,A2,noun,축구 선수
footnote,B2,noun,각주
for,A2,conjunction,~을 위한
forbid,A2,verb,금지
forbidden,B1,adjective,금지 된
force,A2,noun,힘
forcefully,B2,adverb,득
forecast,B1,noun,예측
forehead,B1,noun,이마
foreign,A1,adjective,외국의
foreigner,A1,noun,외국인
foreman,B2,noun,십장
foresee,B2,verb,예측
forest,A2,noun,숲
forestry,B2,noun,임학
forever,A2,adverb,영원히
forget,A1,verb,잊다
forgive,B1,verb,용서하다
fork,A2,noun,포크
form,A1,noun,형태
formal,B1,adjective,공식적인
formally,B1,adverb,공식적으로
format,B1,noun,체재
formation,B2,noun,형성
former,B1,adjective,이전의
formerly,B2,adverb,전에
formidable,B2,adjective,무서운
formula,B1,noun,공식
forth,B1,adverb,앞으로
forthcoming,B2,adjective,출현
fortnight,B1,noun,이주일
fortunate,B1,adjective,운이 좋다
fortunately,A2,adverb,다행스럽게도
fortune,A2,noun,행운
forty,A1,number,사십
forward,A2,adverb,앞으로
foul,B2,adjective,반칙
found,B2,verb,설립하다
foundation,B1,noun,기반
fountain,B1,noun,분수
four,A1,number,네
fourteen,A1,number,십사
fox,B2,noun,여우
fragment,B1,noun,파편
fragrance,B2,noun,향기
frame,A2,noun,액자
frank,A2,adjective,솔직한
frankly,B2,adverb,솔직히
frantically,B2,adverb,열광적으로
fraud,B2,noun,사기
freak,B2,verb,괴물 
free,A1,adjective,무료
freedom,A2,noun,자유
freely,B1,adverb,자유로이
freeze,A2,verb,꼭 매달리게 하다
freezer,B1,noun,냉동고
freezing,B1,adjective,동결
frequency,B1,noun,빈도
frequent,B1,adjective,잦은
frequently,B1,adverb,자주
fresh,A2,adjective,신선한
freshman,B1,noun,신입생
Friday,A1,noun,금요일
fridge,A2,noun,냉장고
fried,A2,adjective,볶은 것
friend,A1,noun,친구
friendliness,B1,noun,우정
friendly,B2,adjective,친숙한
friendship,A2,noun,우정
frigate,B2,noun,프리깃
fright,B1,noun,공포
frighten,A2,verb,놀라다
frightened,A2,adjective,겁먹은
frightening,A2,adjective,놀라운
frog,A1,noun,개구리
from,A1,preposition,~에서
front,A1,adjective,앞쪽
frontier,B2,noun,국경 지방
frost,B1,noun,서리
frozen,B1,adjective,겨울 왕국
frugal,B2,adjective,검소한
fruit,A1,noun,과일
frustrated,B1,adjective,좌절스러운
frustration,B1,noun,좌절
fry,A2,noun,튀김
frying pan,B1,noun,프라이팬
fuel,B1,noun,연료
fulfill/fulfil,B2,verb,성취
full,A1,adjective,가득한
full stop,B1,noun,마침표
full-time,B1,adjective,풀 타임
fully,A2,adverb,충분히
fume,B2,noun,연기
fun,A1,adjective,재미있는
function,B1,noun,기능
functional,B2,adjective,기능의
functionality,B2,noun,기능
fund,B1,noun,축적
fundamental,B2,adjective,근본적인
funeral,B1,noun,장례식
funk,B2,noun,펑키 재즈
funky,B2,adjective,겁내는
funny,A1,adjective,재미있는
fur,B1,noun,털
furious,B2,adjective,맹렬한
furiously,B2,adverb,격렬하게
furnish,B1,verb,주다
furniture,A2,noun,가구
further,A2,adjective,더 나아가
furthermore,B1,adverb,뿐만 아니라
furthest,B1,adverb,가장 먼
fuss,B1,noun,야단법석
future,B1,adjective,미래
gaiety,B2,noun,유쾌
gain,B1,noun,얻다
gall,B1,noun,담즙
gallery,A2,noun,갤러리
gallon,B1,noun,갤런
gambling,B2,noun,도박
game,A1,noun,게임
gang,B2,noun,가다
gangster,B2,noun,갱스터
gap,B1,noun,갭
garage,A2,noun,차고
garbage,A1,noun,쓰레기
garden,A1,noun,정원
gardener,B2,noun,정원사
gardening,B1,noun,원예
garlic,A2,noun,마늘
garment,B1,noun,외피
gas,A2,noun,가스
gasp,B2,noun,가스프
gate,A2,noun,문
gateway,B2,noun,게이트웨이
gather,A2,verb,모으다
gaudy,B2,adjective,화려한
gay,B1,adjective,게이
gaze,B2,noun,시선
gear,B2,noun,기어
gee,B1,interjection,말
gender,A2,noun,성별
gene,B1,noun,유전자
general,B1,adjective,일반적인
generalization/generalisation,B2,noun,일반화
generally,B1,adverb,일반적으로
generate,B1,verb,생성하다
generation,A2,noun,세대
generosity,B2,noun,관대
generous,B1,adjective,관대한
generously,B2,adverb,관대하게
genetic,B1,adjective,유전적
genetically,B1,adverb,유전적으로
genetics,B1,noun,유전학
genius,B2,noun,천재
genre,B2,noun,장르
gentle,A2,adjective,온화한
gentleman,B1,noun,신사
gently,B2,adverb,부드럽게
genuine,B2,adjective,진실한
genuinely,B2,adverb,진심으로
geographic,B2,adjective,지리적
geographical,B1,adjective,지리적
geography,B1,noun,지리학
geology,B1,noun,지질학
germ,B2,noun,세균
gesture,B1,noun,몸짓
get,A1,verb,얻다
getaway,B2,noun,도주
ghetto,B2,noun,빈민가
ghost,A1,noun,귀신
giant,B1,adjective,거대한
gift,A1,noun,선물
gifted,B1,adjective,재능
giggle,B1,noun,킬킬 웃음
ginger,B1,noun,생강
giraffe,B1,noun,기린
girl,A1,noun,소녀
girlfriend,A1,noun,여자 친구
give,A1,verb,주다
giveaway,B2,noun,경품
given,A2,adjective,주어진
glacis,B2,noun,빙하
glad,A1,adjective,기쁜
glamorous/glamourous,B2,adjective,화려한
glance,B1,noun,섬광
glare,B2,noun,섬광
glass,A1,noun,유리
glasses,A1,noun,안경
gleam,B2,noun,번득임
glee,B2,noun,기쁨
glide,B1,noun,활주
glimpse,B1,noun,글립
glint,B1,noun,반짝임
global,B1,adjective,글로벌
global warming,B2,noun,지구 온난화
globally,B2,adverb,전 세계
globe,A2,noun,지구
gloomy,B2,adjective,음울한
glorify,B2,verb,영화롭게하다
glorious,B1,adjective,거룩한
glory,B1,noun,영광
glove,A2,noun,장갑
glow,B2,noun,불타는 듯한 빛깔
go,B1,noun,가다
goal,A1,noun,목표
goalkeeper,B1,noun,골키퍼
goat,B2,noun,염소
god,B2,noun,하나님
goddess,B1,noun,여신
godly,B2,adjective,경건한
gold,A1,adjective,금
golden,A2,adjective,황금
golf,A2,noun,골프
golfer,B1,noun,골퍼
good,A1,adjective,좋은
good afternoon,A1,interjection,좋은 오후에요
good morning,A1,interjection,좋은 아침이에요
good night,A1,interjection,안녕히 주무세요
good-looking,A2,adjective,잘 생긴
goodness,B1,interjection,선량
goods,B1,noun,상품
goodwill,B2,noun,친선
gorge,B2,noun,협곡
gorgeous,B1,adjective,아주 멋진
gorilla,B1,noun,고릴라
gossip,B1,noun,잡담
govern,B1,verb,통치
government,A2,noun,정부
governmental,B2,adjective,정부
governor,B1,noun,지사
gown,B1,noun,겉옷
grab,B1,verb,붙잡다
grace,A2,noun,우아함
graceful,B1,adjective,우아한
gracefulness,B2,noun,우아함
grade,A1,noun,등급
gradual,B2,adjective,점진적
gradually,A2,adverb,서서히
graduate,B1,noun,졸업하다
graduation,B1,noun,눈금
grain,B2,noun,곡물
gram/gramme,A2,noun,그램
grammar,A1,noun,문법
grand,B2,adjective,멋진
grandchild,A2,noun,손자
granddad,A2,noun,할아버지
granddaughter,A2,noun,손녀
grandfather,A1,noun,할아버지
grandma,A1,noun,할머니
grandmother,A1,noun,할머니
grandpa,A1,noun,할아버지
grandparent,A1,noun,조부모
grandson,A2,noun,손자
granny,A2,noun,할머니
grant,B1,noun,승인하다
grape,A1,noun,포도
graph,B1,noun,그래프
graphic,B1,adjective,그래픽
graphically,B2,adverb,그래픽으로
graphics,B1,noun,제도법
grasp,B2,noun,파악
grass,A1,noun,잔디
grateful,A2,adjective,고마워하는
gratitude,B1,noun,고마움
grave,B1,noun,무덤
gravestone,B2,noun,묘비
gravitation,B2,noun,중력
gravy,B1,noun,육수
gray/grey,A1,adjective,회색
great,A1,adjective,엄청난
greatly,A2,adverb,매우
greatness,B2,noun,위대
greedy,A2,adjective,탐욕스러운
green,A1,adjective,녹색
greenhouse,B1,noun,온실
greet,A1,verb,환영하다
greeting,B1,noun,인사
grief,B2,noun,고통
grieve,B2,verb,슬픔
grill,B1,noun,그릴
grilled,A2,adjective,구운 것
grim,B2,adjective,암울한
grin,B2,noun,이를 드러내고 웃다
grip,B2,noun,꽉 붙잡음
grocery store,A2,noun,식료품점
groom,B1,noun,신랑
gross,B2,adjective,역겨운
ground,A1,noun,지면
ground floor,B1,noun,1 층
group,A1,noun,그룹
grouping,B1,noun,그룹화
grow,A1,verb,자라다
growing,B2,adjective,성장
grown-up,B2,adjective,어른
growth,B1,noun,성장
guarantee,B1,noun,보장하다
guard,A2,noun,경비원
